,neighborhood,name,distance,category,address,display_phone,price,rating,review_count,url,latitude,longitude
42,ALAMEDA,Muscadine,1373.50297118,Southern,1465 NE Prescott St,(503) 841-5576,$$,4.0,156,https://www.yelp.com/biz/muscadine-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5556526184,-122.650421143
43,ALAMEDA,Petite Provence,1393.63060032,Bakeries,1824 NE Alberta St,(503) 284-6564,$$,4.5,980,https://www.yelp.com/biz/petite-provence-portland-2?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5589299,-122.64621
44,ALAMEDA,Fifteenth Avenue Hophouse,1407.07380358,Burgers,1517 NE Brazee St,(971) 266-8392,$$,3.5,96,https://www.yelp.com/biz/fifteenth-avenue-hophouse-portland-3?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.54081,-122.65014
45,ALAMEDA,Zilla Sake House,1411.63563875,Sushi Bars,1806 NE Alberta St,(503) 288-8372,$$,4.0,200,https://www.yelp.com/biz/zilla-sake-house-portland-3?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5589299,-122.6466
46,ALAMEDA,Batter Griddle and Drinkery,1412.99005929,Breakfast & Brunch,4425 NE Fremont St,(971) 271-8784,$$,4.0,335,https://www.yelp.com/biz/batter-griddle-and-drinkery-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.54852,-122.61781
47,ALAMEDA,Aviary,1477.3263226,Asian Fusion,1733 NE Alberta St,(503) 287-2400,$$$,4.0,328,https://www.yelp.com/biz/aviary-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5593,-122.64718
48,ALAMEDA,Hale Pele,1485.9197154,Lounges,2733 NE Broadway,(503) 662-8454,$$,4.5,371,https://www.yelp.com/biz/hale-pele-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.535352,-122.637292
49,ALAMEDA,Sweet Basil Thai Cuisine,1499.4881575,Thai,3135 NE Broadway St,(503) 281-8337,$$,3.5,226,https://www.yelp.com/biz/sweet-basil-thai-cuisine-portland-12?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5353057,-122.6334496
50,ALAMEDA/BEAUMONT-WILSHIRE,Papa Murphy's,305.324226201,Pizza,4010 North East Fremont Street,(503) 281-6833,$,3.5,5,https://www.yelp.com/biz/papa-murphys-portland-17?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.54808,-122.62125
51,ALAMEDA/BEAUMONT-WILSHIRE,Fire + Stone,352.693282267,Pizza,3707 NE Fremont St,(503) 719-7195,$$,3.5,134,https://www.yelp.com/biz/fire-stone-portland-3?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5485,-122.62454
52,ALAMEDA/BEAUMONT-WILSHIRE,Pizzicato Pizza,401.603394036,Pizza,4217 NE Fremont St,(503) 493-2808,$,3.5,47,https://www.yelp.com/biz/pizzicato-pizza-portland-6?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.548414,-122.61969
53,ALAMEDA/BEAUMONT-WILSHIRE,Little Griddle,402.458436378,Breakfast & Brunch,3520 NE 42nd Ave,,$$,5.0,16,https://www.yelp.com/biz/little-griddle-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.54858,-122.62002
54,ALAMEDA/BEAUMONT-WILSHIRE,Tuk Tuk,410.362500574,Thai,4239 NE Fremont St,(503) 282-0456,$$,3.5,93,https://www.yelp.com/biz/tuk-tuk-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.54852,-122.61957
55,ALAMEDA/BEAUMONT-WILSHIRE,Batter Griddle and Drinkery,508.172601364,Breakfast & Brunch,4425 NE Fremont St,(971) 271-8784,$$,4.0,335,https://www.yelp.com/biz/batter-griddle-and-drinkery-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.54852,-122.61781
56,ALAMEDA/BEAUMONT-WILSHIRE,Grand Central Baking Company,525.627583471,Bakeries,4401 NE Fremont,(503) 808-9877,$,4.0,68,https://www.yelp.com/biz/grand-central-baking-company-portland-5?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5480977352,-122.61711185
57,ALAMEDA/BEAUMONT-WILSHIRE,McPeets Portland Pub,550.771750697,Pubs,4501 NE Fremont St,(503) 287-0625,$,3.5,46,https://www.yelp.com/biz/mcpeets-portland-pub-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.54845,-122.61692
58,ALAMEDA/BEAUMONT-WILSHIRE,SouthFork,628.384940262,Southern,4605 Ne Fremont St,(503) 477-4453,$$,4.0,45,https://www.yelp.com/biz/southfork-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.54851,-122.6159
59,ALAMEDA/BEAUMONT-WILSHIRE,Noho's Hawaiian Cafe,657.091719539,Hawaiian,4627 NE Fremont St,(503) 445-6646,$$,4.0,179,https://www.yelp.com/biz/nohos-hawaiian-cafe-portland-3?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5485,-122.6155
60,ALAMEDA/BEAUMONT-WILSHIRE,Thrive Sauce & Bowls,671.322791291,Caterers,4641 NE Fremont St,(503) 288-8365,$$,4.0,84,https://www.yelp.com/biz/thrive-sauce-and-bowls-portland-4?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5483256307,-122.615128247
61,ALAMEDA/BEAUMONT-WILSHIRE,Amalfi's Restaurant & Mercato,700.657390196,Italian,4703 NE Fremont St,(503) 284-6747,$$,3.5,208,https://www.yelp.com/biz/amalfis-restaurant-and-mercato-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5485038757,-122.614730835
62,ALAMEDA/BEAUMONT-WILSHIRE,Bang Bang,736.36956212,Thai,4727 NE Fremont Ave,(503) 287-3846,$$,4.5,159,https://www.yelp.com/biz/bang-bang-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5485,-122.61433
63,ALAMEDA/BEAUMONT-WILSHIRE,Cha! Cha! Cha!,736.36956212,Mexican,4727 NE Fremont St,(503) 595-9131,$$,3.5,119,https://www.yelp.com/biz/cha-cha-cha-portland-6?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5485,-122.61433
64,ALAMEDA/BEAUMONT-WILSHIRE,Pip's Original Doughnuts & Chai,769.445120135,Coffee & Tea,4759 NE Fremont St,(503) 206-8692,$,4.5,1340,https://www.yelp.com/biz/pips-original-doughnuts-and-chai-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5485,-122.61384
65,ALAMEDA/BEAUMONT-WILSHIRE,Alameda Brewing Co,782.162317936,American (Traditional),4765 NE Fremont St,(503) 460-9025,$$,3.0,237,https://www.yelp.com/biz/alameda-brewing-co-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.548500061,-122.613647461
66,ALAMEDA/BEAUMONT-WILSHIRE,Pizza Nostra,811.002334472,Pizza,4831 NE Fremont St,(503) 281-9592,$$,3.5,124,https://www.yelp.com/biz/pizza-nostra-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5483779653,-122.613172531
67,ALAMEDA/BEAUMONT-WILSHIRE,Stanich's,865.795790946,American (Traditional),4915 NE Fremont St,(503) 281-2322,$,3.0,307,https://www.yelp.com/biz/stanichs-portland-5?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5485,-122.61237
68,ALAMEDA/BEAUMONT-WILSHIRE,Eclectic Kitchen,905.042524125,Breakfast & Brunch,4936 NE Fremont St,(971) 998-9798,$$,3.5,121,https://www.yelp.com/biz/eclectic-kitchen-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5482348055,-122.612010464
69,ALAMEDA/BEAUMONT-WILSHIRE,Chameleon Restaurant & Bar,913.768285138,American (New),2000 NE 40th Ave,(503) 460-2682,$$,4.5,132,https://www.yelp.com/biz/chameleon-restaurant-and-bar-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5371499,-122.62164
70,ALAMEDA/BEAUMONT-WILSHIRE,Moon & Sixpence British Pub,921.06149215,Pubs,2014 NE 42nd Ave,(503) 288-7802,$$,4.0,179,https://www.yelp.com/biz/moon-and-sixpence-british-pub-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5373535156,-122.619613647
71,ALAMEDA/BEAUMONT-WILSHIRE,Velo Cult Bicycle Shop,939.221349084,Bikes,1969 NE 42nd Ave,(503) 922-2012,$$,4.5,91,https://www.yelp.com/biz/velo-cult-bicycle-shop-portland?adjust_creative=6HNzzXI7SPiOg6uz8rMLJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6HNzzXI7SPiOg6uz8rMLJA,45.5370750427,-122.620239258
